Node: 104.23.112.78, Ping: 255.531 ms, Download Speed: 1234753.71 Mbps
Node: 104.23.112.79, Ping: 307.126 ms, Download Speed: 835987.09 Mbps
Node: 104.23.112.80, Ping: 367.563 ms, Download Speed: 1236246.42 Mbps
Node: 104.23.112.81, Ping: 288.090 ms, Download Speed: 4417327.26 Mbps
Node: 104.23.112.82, Ping: 262.026 ms, Download Speed: 3119075.74 Mbps
Node: 104.23.112.83, Ping: 262.026 ms, Download Speed: 2293952.52 Mbps
Node: 104.23.112.84, Ping: 262.026 ms, Download Speed: 3745502.13 Mbps
Node: 104.23.112.85, Ping: 262.026 ms, Download Speed: 2873080.00 Mbps
Node: 104.23.112.86, Ping: 604.621 ms, Download Speed: 6028024.28 Mbps
Node: 104.23.112.87, Ping: 604.621 ms, Download Speed: 5233297.55 Mbps
Node: 104.23.112.88, Ping: 604.621 ms, Download Speed: 2349673.01 Mbps
Node: 104.23.112.89, Ping: 604.621 ms, Download Speed: 3614683.80 Mbps
Node: 104.23.112.90, Ping: 313.585 ms, Download Speed: 1466209.43 Mbps
Node: 104.23.112.91, Ping: 260.199 ms, Download Speed: 1280932.69 Mbps
Node: 104.23.112.92, Ping: 260.199 ms, Download Speed: 5565591.93 Mbps
Node: 104.23.112.93, Ping: 260.199 ms, Download Speed: 1604036.19 Mbps
Node: 104.23.112.94, Ping: 260.308 ms, Download Speed: 4591583.60 Mbps
Node: 104.23.112.95, Ping: 260.308 ms, Download Speed: 1390722.18 Mbps
Node: 104.23.112.96, Ping: 255.816 ms, Download Speed: 6022952.32 Mbps
Node: 104.23.112.97, Ping: 255.816 ms, Download Speed: 1747413.36 Mbps
Node: 104.23.112.98, Ping: 255.816 ms, Download Speed: 4670981.29 Mbps
Node: 104.23.112.99, Ping: 255.816 ms, Download Speed: 5094860.37 Mbps
Node: 104.23.112.100, Ping: 300.278 ms, Download Speed: 2210709.95 Mbps
Node: 104.23.112.101, Ping: 300.278 ms, Download Speed: 4326551.12 Mbps
Node: 104.23.112.102, Ping: 380.254 ms, Download Speed: 2093063.98 Mbps
Node: 104.23.112.103, Ping: 238.452 ms, Download Speed: 2684186.80 Mbps
Node: 104.23.112.104, Ping: 238.452 ms, Download Speed: 7949226.90 Mbps
Node: 104.23.112.105, Ping: 238.452 ms, Download Speed: 3716655.67 Mbps
Node: 104.23.112.106, Ping: 305.821 ms, Download Speed: 8359220.12 Mbps
Node: 104.23.112.107, Ping: 318.872 ms, Download Speed: 6274605.25 Mbps
Node: 104.23.112.108, Ping: 318.872 ms, Download Speed: 3239528.81 Mbps
Node: 104.23.112.109, Ping: 396.349 ms, Download Speed: 5005206.03 Mbps
Node: 104.23.112.110, Ping: 606.508 ms, Download Speed: 2469365.43 Mbps
Node: 104.23.112.111, Ping: 291.180 ms, Download Speed: 1809473.92 Mbps
Node: 104.23.112.112, Ping: 600.361 ms, Download Speed: 1613860.63 Mbps
Node: 104.23.112.113, Ping: 600.361 ms, Download Speed: 3087239.29 Mbps
Node: 104.23.112.114, Ping: 600.361 ms, Download Speed: 3976453.38 Mbps
